source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs
1821608471955735296,12.310568,13.209567,11.381272,1.8282948,NOT_AVAILABLE,0,true,46,44
1821607608629456512,14.198359,14.845339,13.389281,1.4560575,NOT_AVAILABLE,0,true,49,46
1283756555019878528,7.9291096,8.410325,7.2783422,1.1319828,NOT_AVAILABLE,0,true,64,61
1164574545451579520,6.4844236,6.661394,6.161619,0.49977493,NOT_AVAILABLE,0,false,28,25
6451102215021927040,9.659684,10.030808,9.108716,0.92209244,NOT_AVAILABLE,0,true,52,50
2410074826036809088,8.140037,8.370305,7.7365375,0.6337676,NOT_AVAILABLE,0,false,23,23
2406522235247996160,8.726041,9.1288185,8.134975,0.9938431,NOT_AVAILABLE,0,false,19,18
2381924235989147392,9.765711,10.331173,9.045127,1.286046,NOT_AVAILABLE,0,false,21,20
2380163711714608000,9.006948,9.634968,8.240785,1.3941832,NOT_AVAILABLE,0,false,17,18
2367454697327877504,8.240887,8.675479,7.6197243,1.0557547,NOT_AVAILABLE,0,false,26,25
4049030566622522240,15.482561,16.331718,14.563725,1.767993,NOT_AVAILABLE,0,true,21,21
4685877597088703360,7.9829855,8.724349,7.149587,1.5747619,NOT_AVAILABLE,0,true,41,39
5084391257193086336,6.452487,6.8834033,5.8414974,1.0419059,NOT_AVAILABLE,0,true,55,51
4049028883040962816,15.494883,16.270027,14.597658,1.672369,NOT_AVAILABLE,0,true,22,24
4048839320356942720,15.5871315,16.512411,14.584599,1.9278126,NOT_AVAILABLE,0,true,21,24
6614285855300051840,7.298902,7.8663464,6.5868754,1.2794709,NOT_AVAILABLE,0,true,23,23
2689931630869716096,6.634125,6.702402,6.484668,0.21773434,NOT_AVAILABLE,0,true,26,24
6891134705556330880,8.540231,9.297098,7.6906857,1.6064124,NOT_AVAILABLE,0,false,47,44
2686137834717137792,9.379478,9.944711,8.674389,1.2703218,NOT_AVAILABLE,0,true,29,30
1733244570676906880,6.7446723,7.2654266,6.0652223,1.2002044,NOT_AVAILABLE,0,true,28,24
1736838805468812160,7.8166437,8.509196,7.0129037,1.4962926,NOT_AVAILABLE,0,true,73,71
1730456415347350784,7.064435,7.6778026,6.313766,1.3640366,NOT_AVAILABLE,0,true,36,32
6891134705556330880,8.540231,9.297098,7.6906857,1.6064124,NOT_AVAILABLE,0,false,47,44
2612247904551451264,9.296064,9.78302,8.635758,1.1472616,NOT_AVAILABLE,0,true,36,35
2869759781250083200,7.2995653,7.915445,6.5361032,1.3793416,NOT_AVAILABLE,0,true,48,44
2595112909185720192,6.7922044,6.704943,6.911889,-0.2069459,NOT_AVAILABLE,0,false,19,17
2611218796027486336,7.4810295,8.043275,6.7551436,1.2881312,NOT_AVAILABLE,0,false,18,17
2722849325377392384,10.245254,10.505908,9.813103,0.6928053,NOT_AVAILABLE,0,true,23,24
2672702897842335872,7.9937515,8.5112705,7.3031716,1.2080989,NOT_AVAILABLE,0,true,41,40
1777026848817076352,7.7989874,8.436515,7.033565,1.4029498,NOT_AVAILABLE,0,false,20,19
2582106305105033216,10.263211,10.125215,10.501035,-0.37582016,NOT_AVAILABLE,0,true,51,51
4158615798208505472,7.7513113,8.337679,6.999647,1.3380318,NOT_AVAILABLE,0,true,26,26
4469871906338470528,6.811768,6.85156,6.709623,0.14193726,NOT_AVAILABLE,0,true,31,29
4254242042483556096,7.7182636,7.9575467,7.3161893,0.6413574,NOT_AVAILABLE,0,false,21,21
2537228466706526208,7.316139,7.8801637,6.6040087,1.276155,NOT_AVAILABLE,0,true,35,33
5949553973093167104,10.534775,11.153588,9.784686,1.3689022,NOT_AVAILABLE,0,true,33,32
4411558723033335552,6.6878724,6.9197874,6.288568,0.6312194,NOT_AVAILABLE,0,false,39,38
4435581505912059904,8.394016,8.826022,7.7940483,1.0319738,NOT_AVAILABLE,0,true,47,46
4364527594192166400,7.2647023,7.934502,6.47054,1.4639621,NOT_AVAILABLE,0,true,42,41
4471126479159876096,7.7360053,7.827422,7.5446944,0.28272772,NOT_AVAILABLE,0,true,28,28
4470930186283476736,7.3298388,7.3305273,7.2922926,0.03823471,NOT_AVAILABLE,0,true,28,26
4478267193011680640,8.076283,8.232394,7.779154,0.4532404,NOT_AVAILABLE,0,true,34,32
2582106305105033216,10.263211,10.125215,10.501035,-0.37582016,NOT_AVAILABLE,0,true,51,51
4446275149846884352,9.039368,9.413515,8.474363,0.93915176,NOT_AVAILABLE,0,true,88,87
4473687177317598336,9.322967,9.471477,9.0499525,0.42152405,NOT_AVAILABLE,0,true,37,37
4474760644265753984,6.3143835,6.259302,6.3687887,-0.10948658,NOT_AVAILABLE,0,true,26,24
4476214061198753280,7.187082,7.2414103,7.0535727,0.1878376,NOT_AVAILABLE,0,true,37,36
4468305755100841472,6.611578,6.6710405,6.463628,0.20741272,NOT_AVAILABLE,0,true,22,21
4284219883386710272,7.6816497,7.773092,7.4737296,0.29936218,NOT_AVAILABLE,0,true,22,19
4286778069001143808,7.382025,8.018707,6.613964,1.4047432,NOT_AVAILABLE,0,true,21,22
4286975912366995200,7.9623284,8.047399,7.7848797,0.26251888,NOT_AVAILABLE,3,true,20,20
4268291017906171392,7.4221044,7.941684,6.7435594,1.1981244,NOT_AVAILABLE,0,true,23,22
4211227150402501632,6.571676,6.729081,6.26745,0.4616313,NOT_AVAILABLE,0,false,19,17
4292688321964796800,6.6311216,6.8218317,6.289672,0.5321598,NOT_AVAILABLE,0,true,28,25
4180422412302938752,7.4030356,7.7378983,6.87985,0.85804844,NOT_AVAILABLE,0,false,24,22
6858449008002621312,9.951925,10.558016,9.2080965,1.3499193,NOT_AVAILABLE,0,true,46,47
4247355045211154560,10.307824,10.579811,9.861012,0.71879864,NOT_AVAILABLE,0,true,71,72
4273225145054713984,7.5851855,8.185889,6.840701,1.3451881,NOT_AVAILABLE,0,true,24,21
4240746602368593664,7.1234956,7.6799307,6.4136114,1.2663193,NOT_AVAILABLE,2,true,43,42
4243275719623780608,7.284513,7.422891,7.0167875,0.4061036,NOT_AVAILABLE,0,true,34,31
4243054649066947712,7.7032294,8.150922,7.082021,1.0689006,NOT_AVAILABLE,0,true,36,36
2699572561138691968,7.7440543,7.899419,7.4544253,0.4449935,VARIABLE,0,true,59,56
2681306546265329920,8.406979,8.819511,7.8277164,0.99179506,NOT_AVAILABLE,0,true,27,25
4500356450325206272,6.117013,6.3366036,5.737328,0.5992756,NOT_AVAILABLE,0,true,31,28
1833199729671740800,7.0359473,7.470217,6.425181,1.0450363,NOT_AVAILABLE,0,true,59,55
1821609021711485696,13.799219,14.46939,12.974388,1.4950018,NOT_AVAILABLE,0,true,46,49
1821620424811789568,12.266191,13.074432,11.389818,1.6846142,NOT_AVAILABLE,0,true,49,47
6888560851915102464,9.949441,10.403554,9.313071,1.0904827,NOT_AVAILABLE,0,true,47,47
4455529017661900160,8.741157,9.376644,7.97165,1.404994,NOT_AVAILABLE,0,true,55,56
4455529017661900160,8.741157,9.376644,7.97165,1.404994,NOT_AVAILABLE,0,true,55,56
6045465987271055232,11.88782,12.738847,10.952781,1.786066,NOT_AVAILABLE,0,true,50,49
4687246145432125824,13.043259,13.783117,12.212988,1.5701294,NOT_AVAILABLE,0,true,46,45
4687250268600675712,12.69179,13.511384,11.818304,1.69308,NOT_AVAILABLE,0,true,45,44
5030366581563257088,9.369988,9.997152,8.611061,1.3860912,NOT_AVAILABLE,0,true,58,59
4662061316228099584,11.290447,11.576771,10.839553,0.7372179,NOT_AVAILABLE,0,true,98,97
3318883274444631296,8.194011,8.652688,7.569126,1.0835619,NOT_AVAILABLE,0,true,23,24
2957939583009621120,12.518736,13.329733,11.644186,1.6855469,NOT_AVAILABLE,0,true,66,66
2957939686088825472,13.0215845,13.737828,12.196282,1.5415459,NOT_AVAILABLE,0,true,64,64
2957940132765349888,12.741396,13.525411,11.8829155,1.6424952,NOT_AVAILABLE,0,true,57,56
4658168495332042112,14.72221,15.429595,13.9146,1.5149946,NOT_AVAILABLE,0,true,31,30
2787924539542784896,7.048718,7.5941586,6.349757,1.2444015,NOT_AVAILABLE,0,true,29,27
2490426551679224064,7.06749,7.325245,6.641103,0.6841421,NOT_AVAILABLE,2,true,24,23
3124766042749774720,7.7723365,7.872784,7.5567346,0.31604958,VARIABLE,0,true,29,29
3155993478647980416,7.6664996,8.12831,7.03283,1.09548,NOT_AVAILABLE,0,true,26,23
3156126175957731200,7.1915555,7.746806,6.485862,1.2609444,NOT_AVAILABLE,0,true,25,24
3155862671123017856,6.682074,7.1237392,6.073808,1.049931,NOT_AVAILABLE,0,false,12,13
3317535337611336832,6.9982686,6.9209747,7.1121597,-0.191185,NOT_AVAILABLE,0,true,27,26
4660601611448785152,9.442125,9.78278,8.931553,0.8512268,NOT_AVAILABLE,0,true,101,108
1102883177746176,8.070477,8.287455,7.691287,0.59616756,NOT_AVAILABLE,0,false,20,21
3261878613062758144,6.8885603,7.2105436,6.3911366,0.819407,NOT_AVAILABLE,0,true,19,20
53848448829915776,7.986755,8.3725395,7.4132233,0.95931625,NOT_AVAILABLE,0,true,56,56
5097726306014470016,7.0985155,7.710916,6.3433785,1.3675375,NOT_AVAILABLE,0,true,39,33
3297303572040367232,8.57968,9.307536,7.743888,1.5636482,NOT_AVAILABLE,0,true,33,33
5546929513812569856,7.4578977,8.2379265,6.597693,1.6402335,NOT_AVAILABLE,2,true,55,55
3143312158208562048,7.616658,8.238401,6.8600526,1.3783488,NOT_AVAILABLE,0,true,26,25
3140032894840386944,7.367178,8.067933,6.5610766,1.5068564,NOT_AVAILABLE,0,false,20,17
3115591374131793792,6.7770753,7.20302,6.179237,1.0237832,NOT_AVAILABLE,0,false,19,17
