CALSPEC_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or,radr3,decdr3,namefits,bestfitFLAG,COMMENT,Sp_simbad,Sp_calspec,Teff,logg,zeta,var,E_BV,RV
NGC6681-4,6736897344744400512, 15.9453459, 14.3830137, 13.8244476,  0.5585661,NOT_AVAILABLE,      0,0.0, 11, 11,     280.8037208000000078,     -32.2906750000000002,     280.8037107033706548,     -32.2906707021605826,NGC6681_4_stis_002.fits,  0,OK,,...,     99.0,  99.99,  99.99,,  99.99, 100.00
NGC6681-5,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,,      0,,  0,  0,     280.8036333000000013,     -32.2907111000000029,       0.0000000000000000,       0.0000000000000000,NGC6681_5_stis_002.fits,  0,VAR,A0Va,A0V,     99.0,  99.99,  99.99,,  99.99, 100.00
NGC6681-6,6736897344730722432, 16.1960716,  0.0000000,  0.0000000,  0.0000000,NOT_AVAILABLE,      0,0.0,  0,  0,     280.8031457999999816,     -32.2904693999999992,     280.8031448146458615,     -32.2904706336636522,NGC6681_6_stis_002.fits,  0,OK,,...,     99.0,  99.99,  99.99,,  99.99, 100.00
NGC6681-7,6736897344730687104, 14.6928921, 14.4244118, 13.3515511,  1.0728607,NOT_AVAILABLE,      0,1.0, 21, 23,     280.8026624999999967,     -32.2908582999999965,     280.8026659076160740,     -32.2908603379928465,NGC6681_7_stis_002.fits,  0,OK,,...,     99.0,  99.99,  99.99,,  99.99, 100.00
NGC6681-8,6736897344730694272, 16.9590473,  0.0000000,  0.0000000,  0.0000000,NOT_AVAILABLE,      0,0.0,  0,  0,     280.8011582999999973,     -32.2909750000000031,     280.8011601597768276,     -32.2909740469811410,NGC6681_8_stis_002.fits,  0,OK,,...,     99.0,  99.99,  99.99,,  99.99, 100.00
NGC6681-9,6736897344744421504, 15.7754841,  0.0000000,  0.0000000,  0.0000000,NOT_AVAILABLE,      0,0.0,  0,  0,     280.8008292000000097,     -32.2908638999999980,     280.8008306546436756,     -32.2908655389652495,NGC6681_9_stis_002.fits,  0,OK,,...,     99.0,  99.99,  99.99,,  99.99, 100.00
NGC6681-10,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,,      0,,  0,  0,     280.8006083000000217,     -32.2907166999999973,       0.0000000000000000,       0.0000000000000000,NGC6681_10_stis_002.fits,  0,VAR,A0Va,A0V,     99.0,  99.99,  99.99,,  99.99, 100.00
NGC6681-11,6736897344744418944, 13.8062735, 13.6711674, 12.5608387,  1.1103287,NOT_AVAILABLE,      0,0.0, 14, 14,     280.8002041999999960,     -32.2909778000000003,     280.8002079783804561,     -32.2907825865231857,NGC6681_11_stis_002.fits,  0,OK,,...,     99.0,  99.99,  99.99,,  99.99, 100.00
NGC6681-12,6736897344744398848, 15.5654974,  0.0000000,  0.0000000,  0.0000000,NOT_AVAILABLE,      0,0.0,  0,  0,     280.7995917000000077,     -32.2910861000000011,     280.7997271489172704,     -32.2910310315486484,NGC6681_12_stis_002.fits,  0,OK,,...,     99.0,  99.99,  99.99,,  99.99, 100.00
P041C9,1698468284904574208, 11.8707485, 12.1760273, 11.3944225,  0.7816048,NOT_AVAILABLE,      0,1.0, 45, 44,     222.9915833000000021,      71.7214972000000017,     222.9908829498503167,      71.7215852080372542,p041c_stisnic_010.fits,  0,OK,G0,GOV,   5930.0,   4.35,   0.17,<0.44,   0.01,   3.10
P177D,1399559249961569792, 13.3235836, 13.6533146, 12.8240290,  0.8292856,NOT_AVAILABLE,      0,1.0, 36, 35,     239.8065791999999874,      47.6116416999999998,     239.8065252082623999,      47.6116472532485702,p177d_stisnic_011.fits,  1,OK,G0,G0V,   5680.0,   3.40,  -0.13,<1.00,   0.00,   3.10
P330E,1312054926303736704, 12.8499737, 13.1770039, 12.3583689,  0.8186350,NOT_AVAILABLE,      0,1.0, 55, 56,     247.8908874999999910,      30.1462222000000004,     247.8908392831041567,      30.1460494720658509,p330e_stiswfcnic_007.fits,  1,OK,G2V,G2V,   5840.0,   4.15,  -0.12,<0.76,   0.03,   3.10
SDSS132811,1551861813935664896, 17.1221733, 17.1113873, 17.1881485, -0.0767612,NOT_AVAILABLE,      0,1.0, 65, 67,     202.0479082999999889,      46.5141500000000008,     202.0470642085749091,      46.5140119301207875,sdss132811_stis_004.fits,  0,OK,DA,DA,     99.0,  99.99,  99.99,,  99.99, 100.00
SF1615+001A,4408086362237875072, 16.5747204, 16.9329395, 16.0186501,  0.9142895,NOT_AVAILABLE,      0,1.0, 28, 26,     244.5593332999999916,       0.0023917000000000,     244.5593426079586266,       0.0023427993625605,sf1615_001a_stisnic_011.fits,  0,OK,G0-5,G,   5830.0,   4.00,  -0.63,,   0.10,   3.10
SIGMA_ORI,3216486443742786048,  3.7901659,  3.6425619,  3.9755402, -0.3329782,VARIABLE,      0,1.0, 26, 26,      84.6865207999999967,      -2.6000778000000002,      84.6865224285471783,      -2.6000786610750604,sigori_stis_001.fits,  0,YSO,O9.5V+B0.2V(n),O9.5V+B0.2V,     99.0,  99.99,  99.99,,  99.99, 100.00
SIRIUS,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,,      0,,  0,  0,     101.2871542000000034,     -16.7161167000000006,       0.0000000000000000,       0.0000000000000000,sirius_stis_005.fits,  0,VAR,A0Va,A0V,   9850.0,   4.30,  99.99,,  99.99, 100.00
SNAP-2,1429541695100150656, 16.0641708, 16.4039898, 15.5502834,  0.8537064,NOT_AVAILABLE,      0,1.0, 38, 36,     244.9420958000000041,      55.5716278000000017,     244.9420726143499962,      55.5715798000031711,snap2_stiswfcnic_006.fits,  1,OK,G0-5,G0-5,   5760.0,   4.05,  -0.16,,   0.03,   3.10
VB8,4339417394313320192, 13.8132887, 17.0531693, 12.3241930,  4.7289762,NOT_AVAILABLE,      0,1.0, 60, 60,     253.8968999999999880,      -8.3946527999999994,     253.8932462714885503,      -8.3985230231148318,vb8_stiswfcnic_004.fits,  0,VAR/BIN,M7Ve,M7V,     99.0,  99.99,  99.99,,  99.99, 100.00
WD0148+467,356922880493142016, 12.4955883, 12.4696569, 12.5878105, -0.1181536,VARIABLE,      0,1.0, 36, 36,      28.0123417000000003,      47.0018472000000003,      28.0123719526466530,      47.0023898742372026,wd0148_467_stiswfc_001.fits,  0,OK,DA3.6,DA3.6,     99.0,  99.99,  99.99,,  99.99, 100.00
WD0227+050,2516322146457318144, 12.8205395, 12.7449713, 12.9962368, -0.2512655,NOT_AVAILABLE,      0,1.0, 25, 24,      37.5692833000000022,       5.2640833000000002,      37.5696248988566026,       5.2639734622049685,wd0227_050_stiswfc_002.fits,  1,OK,DA2.5,DA2.5,     99.0,  99.99,  99.99,,  99.99, 100.00
WD0308-565,4727581523318486912, 14.1032095, 14.0062389, 14.2750158, -0.2687769,NOT_AVAILABLE,      0,1.0, 53, 52,      47.4496583000000030,     -56.3970582999999976,      47.4508559745464922,     -56.3967617639867171,wd0308_565_stis_009.fits,  1,OK,DB,sdB,  22200.0,   8.04,  99.99,,  99.99, 100.00
WD0809+177,657056745624156416, 13.4290581, 13.3756266, 13.5516300, -0.1760035,VARIABLE,      0,1.0, 46, 44,     123.1575375000000037,      17.6170639000000016,     123.1578785777125660,      17.6166753877283568,wd0809_177_stiswfc_002.fits,  0,OK,DA,DA,     99.0,  99.99,  99.99,,  99.99, 100.00
WD1057+719,1074013923063975680, 14.7011976, 14.5412283, 15.0238276, -0.4825993,NOT_AVAILABLE,      0,1.0, 52, 48,     165.1426792000000034,      71.6341443999999967,     165.1420650835637787,      71.6340476522827316,wd1057_719_stisnic_011.fits,  1,OK,DA1.2,DA1.2,  41540.0,   7.55,   0.00,,   0.00, 100.00
WD1105-048,3788194488314248832, 13.0905704, 13.0450230, 13.2140388, -0.1690159,VARIABLE,      0,1.0, 28, 24,     166.9997917000000029,      -5.1572306000000001,     166.9995455705611676,      -5.1591990091838067,wd1105_048_stiswfc_002.fits,  0,OK,DA3,DA3,     99.0,  99.99,  99.99,,  99.99, 100.00
