NGSL_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or, radr3, decdr3,namecsv,bestfitFLAG,COMMENT,Sp,Teff,logg,FeH,EBV
HD210418,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,none,      0,none,  0,  0,     332.5499379999999974,       6.1978629999999999,       0.0000000000000000,       0.0000000000000000,none.csv,  0,SAT,A1Va,   8570.0,   4.00,  -0.38,   0.01
HD210595,1879461475230522752,  9.0423498,  8.7579956,  8.1070089,  0.6509867,NOT_AVAILABLE,      0,true, 25, 24,     332.7396319999999719,      24.4886130000000009,     332.7399002999999880,      24.4887258000000010,HD210595.fits.csv,  0,DMS,F7Vw,   6230.0,   2.93,  -0.81,   0.03
HD210745,2199493438511811712,  2.8701382,  3.8604443,  2.2879689,  1.5724754,NOT_AVAILABLE,      0,true, 34, 34,     332.7136540000000196,      58.2012629999999973,     332.7137698000000228,      58.2012853000000021,HD210745.fits.csv,  0,SAT,K1.5Ib,   4337.0,   1.12,   0.17,   0.29
HD210807,2230744513908056192,  4.5459895,  5.0138607,  3.9265304,  1.0873303,NOT_AVAILABLE,      0,true, 30, 29,     332.4517920000000117,      72.3412059999999997,     332.4522784999999772,      72.3412179999999978,HD210807.fits.csv,  0,OK,G7II-III,   5023.0,   2.31,  -0.16,   0.07
HD210889,1906169987060497536,  5.0159464,  5.5884643,  4.3044519,  1.2840123,NOT_AVAILABLE,      0,true, 46, 44,     333.1992670000000203,      34.6045900000000017,     333.1993686000000139,      34.6043694999999971,HD210889.fits.csv,  0,OK,K2-IIIb,   4520.0,   2.53,   0.00,   0.02
HD212516,2737092364644010112,  7.9423065,  8.9993925,  6.9270034,  2.0723891,NOT_AVAILABLE,      0,false, 24, 24,     336.1434820000000059,      16.1501319999999993,     336.1435053999999809,      16.1501054000000011,HD212516.fits.csv,  0,VAR,K5,   3709.0,   1.54,  -0.24,   0.16
HD212593,1999776222304976384,  4.5095158,  4.5735965,  4.3623047,  0.2112918,NOT_AVAILABLE,      0,true, 48, 45,     336.1291279999999801,      49.4763889999999975,     336.1290950999999723,      49.4763772000000017,HD212593.fits.csv,  0,ESG,A0Ib,  13642.0,   2.42,   0.30,   0.16
HD214539,6385794694664872320,  7.1975169,  7.2092385,  7.1152091,  0.0940294,NOT_AVAILABLE,      0,true, 55, 53,     340.1999660000000176,     -67.6885649999999970,     340.1996629999999868,     -67.6886812999999989,HD214539.fits.csv,  0,ESG,B8/9Ib,   7754.0,   1.60,  -1.20,   0.03
HD215665,1876331990259358976,  3.6866872,  4.2482657,  3.0132704,  1.2349954,NOT_AVAILABLE,      0,true, 30, 30,     341.6328240000000278,      23.5656539999999985,     341.6331013999999868,      23.5656123000000015,HD215665.fits.csv,  0,SAT,G8IIIaCN0.5,   4933.0,   2.25,   0.12,   0.13
HD216640,2404410451368518144,  5.2243090,  5.7747922,  4.5276480,  1.2471442,NOT_AVAILABLE,      0,false, 14, 13,     343.6894580000000019,     -16.2719580000000015,     343.6884284999999863,     -16.2723511999999992,HD216640.fits.csv,  0,OK,K2.5III,   4684.0,   3.03,   0.18,   0.01
HD217014,2835207319109249920,  5.2832122,  5.6174655,  4.7888722,  0.8285933,NOT_AVAILABLE,      0,true, 29, 26,     344.3665849999999864,      20.7688279999999992,     344.3675708000000100,      20.7691042999999986,HD217014.fits.csv,  0,planet,G2IV,   5817.0,   4.42,   0.24,   0.00
HD217107,2648914040357320576,  5.9967427,  6.3555379,  5.4672003,  0.8883376,NOT_AVAILABLE,      0,false, 15, 14,     344.5647549999999910,      -2.3953850000000001,     344.5647233999999912,      -2.3954510999999998,HD217107.fits.csv,  0,DMS,G8IV/V,   5495.0,   3.99,   0.30,   0.01
HD217357,2396530698208685312,  7.2595792,  8.0938454,  6.3603644,  1.7334809,NOT_AVAILABLE,      0,false, 18, 19,     345.0671770000000151,     -22.5243479999999998,     345.0628353000000175,     -22.5240891999999988,HD217357.fits.csv,  0,OK,K7+Vk,   3894.0,   4.48,  -0.47,   0.04
HD218029,2212347171817904640,  4.8701515,  5.4902253,  4.1271310,  1.3630943,NOT_AVAILABLE,      0,true, 31, 27,     345.8870109999999727,      67.2092090000000013,     345.8872681999999941,      67.2092563000000069,HD218029.fits.csv,  0,OK,K3III,   4560.0,   2.32,   0.34,   0.02
HD218101,2816930274759413760,  6.2203126,  6.6448464,  5.6257858,  1.0190606,NOT_AVAILABLE,      1,false, 23, 22,     346.2762129999999843,      16.5628390000000003,     346.2753270000000043,      16.5619449000000003,HD218101.fits.csv,  0,OK,G8IV,   5217.0,   3.81,   0.08,   0.02
HD218857,2406522235247996160,  8.7260408,  9.1288185,  8.1349754,  0.9938431,NOT_AVAILABLE,      0,false, 19, 18,     347.8524780000000192,     -16.2511189999999992,     347.8522429000000216,     -16.2515427999999993,HD218857.fits.csv,  0,ChP,G5/8w(a),   5107.0,   2.58,  -1.90,   0.03
HD219623,1995681125599758592,  5.4463863,  5.7207384,  5.0170035,  0.7037349,NOT_AVAILABLE,      0,true, 41, 36,     349.1762620000000084,      53.2134760000000000,     349.1770994999999971,      53.2124234999999999,HD219623.fits.csv,  0,OK,F8V,   6177.0,   4.31,   0.10,   0.07
HD219877,2633584305645296768,  5.4705029,  5.6718516,  5.1280222,  0.5438294,NOT_AVAILABLE,      0,false, 22, 20,     349.8499069999999733,      -5.1243480000000003,     349.8508016000000111,      -5.1244329000000004,HD219877.fits.csv,  0,BIN,F4VFe-0.4,   6880.0,   4.26,  -0.01,   0.03
HD220575,1923557384765462528,  6.6875844,  6.6927571,  6.6281581,  0.0645990,NOT_AVAILABLE,      0,true, 66, 62,     351.1454550000000268,      41.1129019999999983,     351.1454754000000094,      41.1128917999999999,HD220575.fits.csv,  0,OK,B8III,  12293.0,   3.70,   0.50,   0.13
HD220657,2839853133694170880,  4.2580924,  4.5789275,  3.7946384,  0.7842891,NOT_AVAILABLE,      0,false, 36, 35,     351.3449309999999741,      23.4040999999999997,     351.3458577999999761,      23.4042616000000017,HD220657.fits.csv,  0,OK,F8III,   6190.0,   3.32,   0.34,   0.01
HD221148,2633314341181013376,  5.9696980,  6.5060043,  5.2826099,  1.2233944,NOT_AVAILABLE,      1,false, 27, 23,     352.3836709999999925,      -4.5327450000000002,     352.3844710000000191,      -4.5337744999999998,HD221148.fits.csv,  0,OK,K3-IIIbFe2,   4722.0,   3.25,   0.36,   0.01
HD221377,1991693437445859840,  7.4696283,  7.6895761,  7.0826030,  0.6069732,NOT_AVAILABLE,      0,true, 65, 58,     352.8321940000000154,      52.4106949999999969,     352.8329403999999840,      52.4105636999999973,HD221377.fits.csv,  0,OK,F7Vw,   6399.0,   4.08,  -0.66,   0.03
HD222093,2432369829471667200,  5.3765326,  5.8945174,  4.7017002,  1.1928172,NOT_AVAILABLE,      0,false, 23, 21,     354.4148339999999848,     -13.0602429999999998,     354.4149924000000169,     -13.0601237000000001,HD222093.fits.csv,  0,OK,G9III,   4853.0,   2.56,  -0.12,   0.01
HD222404,2281778105594488192,  2.9429574,  3.6605105,  2.4036362,  1.2568743,NOT_AVAILABLE,      0,true, 31, 31,     354.8370899999999892,      77.6323629999999980,     354.8357808000000091,      77.6331248000000045,HD222404.fits.csv,  0,SAT/BIN/planet,K1III-IVCN1,   4734.0,   3.10,   0.13,   0.03
HD224801,386569051169184384,  6.3326764,  6.2956743,  6.3599229, -0.0642486,VARIABLE,      0,true, 46, 42,       0.1818100000000000,      45.2533340000000024,       0.1819224000000000,      45.2533379999999994,HD224801.fits.csv,  0,VAR,A0IIspSiSrHg,  12704.0,   4.11,   0.69,   0.04
HD224926,2448177130188111232,  5.0900393,  5.0301542,  5.1849279, -0.1547737,NOT_AVAILABLE,      0,false, 34, 32,       0.4560300000000000,      -3.0275059999999998,       0.4561135000000000,      -3.0275492000000002,HD224926.fits.csv,  0,VAR,B7III-IV,  14120.0,   4.06,   0.31,   0.05
HD232078,4321939179572488960,  7.6649532,  8.8592768,  6.5978599,  2.2614169,VARIABLE,      0,true, 35, 35,     294.5502900000000182,      16.8071200000000012,     294.5503406999999925,      16.8069737000000003,HD232078.fits.csv,  0,VAR,K3II(e)p,   4295.0,   0.82,  -1.08,   0.71
HD232979,272855565763652480,  7.9525313,  8.8299208,  7.0314350,  1.7984858,NOT_AVAILABLE,      0,true, 46, 45,      69.4205450000000042,      52.8936139999999995,      69.4227838999999989,      52.8915030000000002,HD232979.fits.csv,  0,VAR,M0.5V,   4021.0,   4.64,   0.18,   0.00
HD284248,52624073910834176,  9.0934954,  9.3338442,  8.6768522,  0.6569920,NOT_AVAILABLE,      0,true, 50, 51,      63.6479840000000010,      22.3511820000000014,      63.6500275000000002,      22.3498410000000014,HD284248.fits.csv,  0,ChP,sdG0,   6098.0,   4.12,  -1.60,   0.02
HD345957,1833577819925426944,  8.7393789,  9.0157137,  8.2747326,  0.7409811,NOT_AVAILABLE,      0,true, 58, 58,     302.7006769999999847,      23.9651409999999991,     302.6998475999999982,      23.9654227000000013,HD345957.fits.csv,  0,OK,G0V:,   5883.0,   4.02,  -1.45,   0.03
HR0753,19316224572460416,  5.4983196,  6.0191650,  4.8205218,  1.1986432,NOT_AVAILABLE,      0,false, 14, 13,      39.0204260000000005,       6.8867870000000000,      39.0283845000000014,       6.8933391000000004,HR0753.fits.csv,  0,OK,K3V,   4529.0,   4.40,  -0.21,   0.00
HR8086,1872046574983497216,  5.4506445,  6.2722530,  4.5569124,  1.7153406,NOT_AVAILABLE,      0,true, 45, 42,     316.7302670000000262,      38.7420449999999974,     316.7536627999999723,      38.7560727999999983,HR8086.fits.csv,  0,VAR,K7V,   3894.0,   4.54,  -0.56,   0.01
LHS10,5140693571158946048, 10.8178377, 13.2522068,  9.4236526,  3.8285542,NOT_AVAILABLE,      0,false, 14, 15,      24.7568060000000010,     -17.9503120000000003,      24.7716741999999996,     -17.9476829000000002,LHS10.fits.csv,  0,VAR,M6V,   3167.0,   5.34,  -0.42,   0.73
