SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,bestfitFLAG,COMMENT,ra_or,dec_or, radr3, decdr3
       323,      2541942588451597440, 15.0049238, 15.1173506, 14.7992640,  0.3180866,NOT_AVAILABLE,      0,true, 55, 53,  1,OK,       6.1609234234913997,      -1.1943802196230999,       6.1609249374759782,      -1.1943999740075939
       326,      1564096767011977728, 15.0188961, 15.1709452, 14.7438240,  0.4271212,VARIABLE,      0,true, 50, 47,  0,OK,     197.6336326029351937,      54.3093399318086014,     197.6336114824428023,      54.3093161667100404
       327,      2560771312759450496,  9.9073811, 11.1578493,  8.7973976,  2.3604517,NOT_AVAILABLE,      0,true, 27, 28,  0,OK,      25.8321966703579200,       4.3182553564299999,      25.8321966703578418,       4.3182553564299244
       335,      1472718211053416320,  9.7154951, 10.8408842,  8.6577053,  2.1831789,NOT_AVAILABLE,      0,true, 56, 52,  0,OK,     199.9171898470044937,      33.3465300785060990,     199.9156022823477485,      33.3458960259939730
       338,      1428427236986209024,  9.1397686, 10.3453484,  8.0498886,  2.2954597,VARIABLE,      0,true, 32, 34,  0,OK,     246.3525959952210940,      54.3041015182333027,     246.3558883328168179,      54.3033386656046204
       341,      1776317182780536064,  9.2582722, 10.4694586,  8.1615343,  2.3079243,VARIABLE,      0,false, 22, 22,  0,OK,     332.8753921032812855,      18.4261957407465999,     332.8769336203752687,      18.4269985655602149
       342,      2717105133036645760,  9.5422592, 10.6205444,  8.5115967,  2.1089478,NOT_AVAILABLE,      0,false, 21, 21,  0,OK,     338.2592768406844925,       9.3779776240992003,     338.2617011516252319,       9.3786049603432105
       344,      4659706918202567936,  9.6858730, 10.2123890,  8.9914207,  1.2209682,NOT_AVAILABLE,      0,true,243,227,  0,ChP,      89.1990461024895893,     -66.6512954015050099,      89.1990461024895325,     -66.6512954015049388
       345,      4659680529922228096, 10.2933502, 10.4912004,  9.9619207,  0.5292797,NOT_AVAILABLE,      0,true, 37, 37,  0,OK,      89.8890579895029163,     -67.0203677057111094,      89.8890579895031010,     -67.0203677057110951
       351,      3348071528591318272, 13.5240107, 13.8984928, 12.9803429,  0.9181499,NOT_AVAILABLE,      0,true, 28, 28,  1,OK,      88.0757357573348969,      15.8645975932058008,      88.0757465820658325,      15.8645595043943626
       352,      5020116556211470848, 12.8912344, 14.3627243, 11.7068663,  2.6558580,NOT_AVAILABLE,      0,true, 46, 47,  0,OK,      31.7777220536095797,     -30.4070142039847191,      31.7777220536097467,     -30.4070142039845699
         1,       266077145295627520, 11.7184420, 11.5464220, 12.0706959, -0.5242739,NOT_AVAILABLE,      0,true, 39, 39,  1,OK,      76.3776688394674892,      52.8306735144627808,      76.3776688394675460,      52.8306735144628661
         2,      3348071631670500736, 12.9997692, 12.8530951, 13.3054075, -0.4523125,NOT_AVAILABLE,      0,true, 26, 26,  1,OK,      88.1154373030649936,      15.8862393152327765,      88.1154373030648799,      15.8862393152329133
         3,      3944400490365194368, 13.3109264, 13.1507225, 13.6322451, -0.4815226,NOT_AVAILABLE,      0,true, 51, 50,  1,OK,     194.2594929277541667,      22.0303852601561090,     194.2594929277544793,      22.0303852601561303
         6,      3251244858154433536, 14.0225105, 13.8572149, 14.3397341, -0.4825191,NOT_AVAILABLE,      0,true, 41, 39,  1,OK,      57.2094843699641658,      -0.9763603962605556,      57.2094843699643363,      -0.9763603962606229
         7,      3304090857318319232, 13.8869152, 13.7993555, 14.0805979, -0.2812424,VARIABLE,      0,true, 32, 33,  0,OK,      63.1817478726670885,      11.8632007465794445,      63.1817478726670956,      11.8632007465794231
         8,      5639391810273308416, 11.8223953, 11.9007273, 11.6703167,  0.2304106,NOT_AVAILABLE,      0,true, 58, 57,  0,OK,     130.3795013563220664,     -32.9364949656499988,     130.3795013563218390,     -32.9364949656500769
        11,       781164326766404736, 11.1069555, 10.9302731, 11.4196196, -0.4893465,NOT_AVAILABLE,      0,true, 53, 52,  0,OK,     159.9031506339320856,      43.1024453451563900,     159.9031506339322561,      43.1024453451563474
        12,      5332606522595645952, 11.4231043, 11.5157652, 11.2300177,  0.2857475,NOT_AVAILABLE,      0,true, 44, 44,  0,OK,     176.4566466173008337,     -64.8430528461019406,     176.4566466173009189,     -64.8430528461019975
        13,      3959631234670040704, 10.4618702, 10.3044090, 10.7623663, -0.4579573,NOT_AVAILABLE,      0,true, 54, 54,  0,OK,     189.3479914115608551,      25.0665089918474990,     189.3479914115614804,      25.0665089918475736
