UVES_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or, radr3, decdr3,namefits,bestfitFLAG,COMMENT,Sptype,Teff,logg,Fe_H,E(B-V)
HD162576,4040842056948543232,  6.9425287,  6.9321365,  6.9155779,  0.0165586,NOT_AVAILABLE,      0,true, 33, 30,     268.3165799000000220,     -34.6208499999999972,     268.3165999999999940,     -34.6208770000000001,HD162576.fits,  0,VAR,B8/9III,  10416.5,   3.60,   0.36,   0.04
HD162586,4040814740947685376,  6.5824842,  6.0977278,  6.1365933, -0.0388656,NOT_AVAILABLE,      0,true, 34, 32,     268.3315840999999864,     -34.7308059000000000,     268.3316199999999867,     -34.7308400000000006,HD162586.fits,  0,DMS,B3/5III,  11691.0,   3.91,  -0.16,   0.00
HD162587,4040799485267855232,  5.9781823,  5.8178205,  4.5742040,  1.2436166,NOT_AVAILABLE,      0,true, 31, 29,     268.3477972000000022,     -34.8951214000000007,     268.3477800000000002,     -34.8951879999999974,HD162587.fits,  0,DMS,K3III,   5008.8,   2.05,  -0.13,   0.11
HD162630,4040838380456117888,  7.5566473,  7.5514436,  7.5251465,  0.0262971,NOT_AVAILABLE,      0,true, 38, 38,     268.3715632999999912,     -34.6918065999999996,     268.3715799999999945,     -34.6918300000000031,HD162630.fits,  0,BIN,B9(III),  10493.7,   3.92,  -0.18,   0.01
HD162631,4040801031403875456,  7.3643036,  7.3795838,  7.2921929,  0.0873909,NOT_AVAILABLE,      0,true, 35, 34,     268.3952671999999779,     -34.8653382999999977,     268.3952800000000138,     -34.8653529999999989,HD162631.fits,  0,CRO,A0III,   8818.5,   3.45,  -0.64,   0.02
HD162678,4040825358109531520,  6.3315701,  6.3445039,  6.2623053,  0.0821986,NOT_AVAILABLE,      0,true, 27, 27,     268.4395863999999960,     -34.7860297000000003,     268.4395999999999844,     -34.7860560000000021,HD162678.fits,  0,CRO,B9/A0II/III,   9908.4,   3.53,   0.03,   0.08
HD162679,4040801890398044928,  7.1413913,  7.1382766,  7.1024675,  0.0358090,NOT_AVAILABLE,      0,true, 35, 35,     268.4339066000000003,     -34.7943959999999990,     268.4339200000000005,     -34.7944200000000023,HD162679.fits,  0,DMS,B9/A0(V),   9232.2,   3.05,  -0.46,   0.06
HD162680,4040800722166107136,  7.7483907,  7.7657948,  7.6808934,  0.0849013,NOT_AVAILABLE,      0,true, 40, 37,     268.4458189000000061,     -34.8463538000000028,     268.4458399999999756,     -34.8463789999999989,HD162680.fits,  0,CRO,A1V,   9062.2,   3.96,   0.25,   0.04
HD162719,4063703377509158656,  6.8756309,  6.9295325,  6.6985373,  0.2309952,VARIABLE,      0,true, 46, 39,     268.3925967999999784,     -27.2826465999999996,     268.3926900000000160,     -27.2826300000000010,HD162719.fits,  0,OK,A3III/IV,   8245.4,   3.93,  -0.53,   0.06
HD162724,4040825529908227072,  6.0615025,  5.9562697,  5.9012318,  0.0550380,NOT_AVAILABLE,      0,true, 21, 19,     268.4782212999999729,     -34.7527181999999968,     268.4782200000000216,     -34.7527469999999994,HD162724.fits,  0,BIN,B9V+B9V,      NaN,    NaN,    NaN,    NaN
HD162725,4040824258597614976,  6.3840456,  6.3929992,  6.3326392,  0.0603600,VARIABLE,      0,true, 29, 29,     268.4922326999999882,     -34.8310555999999991,     268.4922500000000127,     -34.8310809999999975,HD162725.fits,  0,VAR,kB6hA0VHeA0pSiCr,   9309.9,   3.05,   0.40,   0.06
HD162780,4040826526340512128,  6.8611388,  6.8748250,  6.7901869,  0.0846381,NOT_AVAILABLE,      0,true, 33, 25,     268.5599169000000188,     -34.7276476999999986,     268.5599300000000085,     -34.7276730000000029,HD162780.fits,  0,BIN,A0(IV),  10325.8,   3.55,   0.23,   0.09
HD162781,4040821200580732800,  7.4808578,  7.5015264,  7.3449545,  0.1565719,VARIABLE,      0,true, 39, 38,     268.5541695000000004,     -34.8234612999999982,     268.5541999999999803,     -34.8234879999999976,HD162781.fits,  0,CRO,A0IV,  10246.4,   4.28,   0.62,   0.16
HD162817,4040847760668408832,  6.0771818,  6.1079078,  5.9707084,  0.1371994,NOT_AVAILABLE,      0,true, 28, 21,     268.6130137000000104,     -34.4667235000000005,     268.6130299999999806,     -34.4667469999999980,HD162817.fits,  0,CRO,B9.5/A0III,  10152.7,   3.66,   0.11,   0.10
HD162888,4040834635242511616,  6.9191723,  6.9487848,  6.8130293,  0.1357555,NOT_AVAILABLE,      0,true, 34, 35,     268.6995173999999906,     -34.5421672000000015,     268.6995299999999816,     -34.5421910000000025,HD162888.fits,  0,Be,A0IIIe,  10156.0,   3.54,  -0.42,   0.11
HD162889,4040822811103190272,  8.3650303,  8.3970728,  8.2684307,  0.1286421,NOT_AVAILABLE,      0,true, 35, 33,     268.7199547000000166,     -34.7510142000000002,     268.7199699999999893,     -34.7510380000000012,HD162889.fits,  0,CRO,A0V,  10334.2,   4.42,  -0.64,   0.10
HD163318,4063417332766504576,  5.7303596,  5.8238635,  5.5427098,  0.2811537,NOT_AVAILABLE,      0,true, 40, 36,     269.1743331999999782,     -28.0653948000000000,     269.1744899999999916,     -28.0654779999999988,HD163318.fits,  0,CRO,A7III/IV,   7684.8,   4.14,  -0.34,   0.00
HD163652,4037358426191922688,  5.4902577,  5.9617524,  4.8515549,  1.1101975,NOT_AVAILABLE,      0,true, 27, 25,     269.7320313999999826,     -36.8583745999999977,     269.7321000000000026,     -36.8583130000000025,HD163652.fits,  0,CRO,G8III,   5033.9,   2.22,  -0.69,   0.08
HD163745,4035245096041719424,  6.4809737,  6.4333076,  6.5193338, -0.0860262,NOT_AVAILABLE,      0,true, 30, 26,     269.9202007999999751,     -41.4870548000000028,     269.9202000000000226,     -41.4870730000000023,HD163745.fits,  0,OK,B5II,  13593.9,   3.45,   0.17,   0.08
